ПІБ	Так	Ні	Утрималися	Не голосували	
Іванова Анна Григорівна	1022	3	383	99	
Павелків Віталій Романович	1144	72	79	108	
Муляренко Олексій ВіталійовичМул	735	18	72	88	
Стасюк Роман Павлович	768	62	206	554	
Чирак Людмила Вікторівна	1222	3	132	126	
Кульчинська Галина Григорівна	859	19	37	238	
Петролюк Роман Васильович	1089	11	417	83	
Паладійчук Сергій Богданович	1383	33	108	166	
Криж Ольга Василівна	1092	64	212	251	
Гапяк Богдан Володимирович	1468	30	145	104	
Довжаниця Олександр Костянтинови	1010	40	380	116	
Ковалець Ігор Костянтинович	1395	17	141	114	
Осіпчук Юрій Юрійович	817	3	262	51	
Чугуєвець Анатолій Олександрович	1472	12	18	174	
Бабат Олександр Володимирович	604	31	45	51	
Кузьмич Андрій Вікторович	1434	67	98	125	
Тимощук Тамара Ульянівна	1050	13	113	104	
Кудрін Володимир В’ячеславович	661	51	102	241	
Пилипчук Ірина Стахівна	1048	3	83	167	
Васильчук Сергій Миколайович	1225	8	145	119	
Хомко Володимир Євгенович	1287	23	107	230	
Туровська Людмила Валентинівна	1335	13	99	161	
Попик Володимир Володимирович	1203	78	77	130	
Лащук Анатолій Петрович	1227	111	234	124	
Чубай Олександр Степанович	956	4	61	216	
Курсик Олександр Васильович	1073	59	12	186	
Яворський Роман Степанович	1234	19	415	80	
Романюк Любов Володимирівна	1165	46	363	154	
Пожарський Петро Володимирович	1236	25	48	268	
Дзецько Олег Вікторович	1148	15	431	55	
Года Маріян Адамович	1094	57	16	99	
Мітін Юрій Олексійович	902	35	187	78	
Чубай Тетяна Василівна	724	14	163	94	
Загоровський Назарій Богданович	1055	10	409	75	
Стельмащук Святослав Володимиров	1137	53	374	69	
Нестерук Олександр Петрович	1250	67	231	70	
Карпяк Олег Віталійович	1196	6	429	64	
Сухий Юрій Володимирович	1013	76	214	270	
Бляшин Микола Степанович	549	1	3	219	
Муляренко Олексій Віталійович	127	0	10	32	
Євтушенко Святослав Ігорович	686	22	183	156	
Поліщук Назарій Миколайович	1368	3	45	241	
Крюков Олександр Володимирович	1170	4	407	28	
Немеш Василь Михайлович	595	68	100	208	
