ПІБ	Так	Ні	Утрималися	Не голосували	
Пилипчук Ірина Стахівна	611	3	60	71	
Кульчинська Галина Григорівна	508	17	27	130	
Крюков Олександр Володимирович	598	4	151	9	
Бляшин Микола Степанович	344	1	3	97	
Пожарський Петро Володимирович	538	20	36	111	
Чирак Людмила Вікторівна	542	3	59	40	
Хомко Володимир Євгенович	623	2	47	126	
Нестерук Олександр Петрович	570	33	129	31	
Поліщук Назарій Миколайович	651	0	40	90	
Стельмащук Святослав Володимиров	613	38	160	48	
Немеш Василь Михайлович	238	47	25	64	
Чугуєвець Анатолій Олександрович	743	7	6	69	
Дзецько Олег Вікторович	585	15	170	29	
Яворський Роман Степанович	621	15	181	55	
Романюк Любов Володимирівна	610	33	150	77	
Ковалець Ігор Костянтинович	668	12	80	31	
Бабат Олександр Володимирович	325	27	13	31	
Тимощук Тамара Ульянівна	459	12	42	52	
Євтушенко Святослав Ігорович	327	14	71	61	
Павелків Віталій Романович	541	46	46	56	
Сухий Юрій Володимирович	516	67	100	103	
Курсик Олександр Васильович	490	21	6	111	
Петролюк Роман Васильович	541	10	161	40	
Года Маріян Адамович	582	36	11	39	
Муляренко Олексій ВіталійовичМул	529	13	68	57	
Кузьмич Андрій Вікторович	735	36	43	48	
Паладійчук Сергій Богданович	689	19	53	56	
Осіпчук Юрій Юрійович	360	3	79	10	
Кудрін Володимир В’ячеславович	378	41	42	96	
Туровська Людмила Валентинівна	709	9	43	74	
Гапяк Богдан Володимирович	739	19	69	45	
Криж Ольга Василівна	598	62	130	81	
Загоровський Назарій Богданович	557	8	171	45	
Попик Володимир Володимирович	647	46	30	77	
Лащук Анатолій Петрович	616	73	100	33	
Довжаниця Олександр Костянтинови	580	39	182	41	
Чубай Тетяна Василівна	429	6	93	52	
Мітін Юрій Олексійович	555	32	104	54	
Чубай Олександр Степанович	387	0	33	31	
Стасюк Роман Павлович	413	35	93	187	
Васильчук Сергій Миколайович	544	6	51	63	
Іванова Анна Григорівна	582	3	178	50	
Карпяк Олег Віталійович	619	6	174	40	
