ПІБ	Так	Ні	Утрималися	Не голосували	
Пилипчук Ірина Стахівна	66	0	3	9	
Кульчинська Галина Григорівна	51	0	0	16	
Крюков Олександр Володимирович	54	0	22	0	
Ковалець Ігор Костянтинович	69	0	1	8	
Пожарський Петро Володимирович	56	0	0	22	
Года Маріян Адамович	70	0	1	7	
Мітін Юрій Олексійович	58	0	8	12	
Нестерук Олександр Петрович	54	0	0	24	
Чирак Людмила Вікторівна	69	0	2	7	
Поліщук Назарій Миколайович	69	0	1	8	
Осіпчук Юрій Юрійович	56	0	22	0	
Сухий Юрій Володимирович	41	0	10	18	
Чугуєвець Анатолій Олександрович	70	0	1	6	
Дзецько Олег Вікторович	55	0	23	0	
Яворський Роман Степанович	58	0	20	0	
Стельмащук Святослав Володимиров	56	4	16	2	
Туровська Людмила Валентинівна	64	0	8	4	
Бляшин Микола Степанович	66	0	2	10	
Тимощук Тамара Ульянівна	67	0	10	1	
Романюк Любов Володимирівна	58	0	16	4	
Павелків Віталій Романович	55	0	0	23	
Кудрін Володимир В’ячеславович	54	1	10	13	
Курсик Олександр Васильович	52	3	1	22	
Петролюк Роман Васильович	55	0	23	0	
Євтушенко Святослав Ігорович	55	0	6	5	
Кузьмич Андрій Вікторович	63	0	6	6	
Паладійчук Сергій Богданович	65	2	0	11	
Муляренко Олексій Віталійович	31	0	3	5	
Гапяк Богдан Володимирович	63	0	9	6	
Криж Ольга Василівна	52	0	7	19	
Загоровський Назарій Богданович	55	0	22	1	
Попик Володимир Володимирович	46	1	0	16	
Лащук Анатолій Петрович	55	3	11	9	
Довжаниця Олександр Костянтинови	61	0	11	6	
Чубай Тетяна Василівна	59	0	14	5	
Хомко Володимир Євгенович	70	0	3	5	
Чубай Олександр Степанович	39	0	7	3	
Стасюк Роман Павлович	41	0	12	25	
Васильчук Сергій Миколайович	61	0	6	11	
Іванова Анна Григорівна	53	0	22	3	
Карпяк Олег Віталійович	53	0	18	0	
