ПІБ	Так	Ні	Утрималися	Не голосували	
Максименко Тарас Анатолійович	373	15	29	18	
Зиль Володимир Васильович	443	12	26	17	
Грудницький Володимир Миколайови	448	8	88	9	
Коваленко Володимир Григорович	409	8	57	9	
Хомко Володимир Євгенович	344	1	29	21	
Нестерук Олександр Петрович	290	19	24	27	
Валявка Володимир Ярославович	96	10	24	27	
Радько Микола Олексійович	498	0	64	9	
Вівсянник Віктор Михайлович	134	0	0	160	
Бобровський Анатолій Леонідович	143	8	58	73	
Туровська Людмила Валентинівна	465	11	23	68	
Шевчук Руслан Степанович	447	0	36	11	
Бабат Олександр Володимирович	413	4	13	21	
Запорожець Юрій Миколайович	336	1	71	61	
Галайчук Едуард Костянтинович	452	4	79	13	
Хмилецький Олексій Віталійович	463	1	21	61	
Года Маріян Адамович	269	10	38	12	
Гладун Любомир Володимирович	303	0	140	84	
Кімстач Ніна Іванівна	389	4	84	6	
Сачук Антон Олександрович	420	0	103	28	
Богатирчук-Кривко Світлана Кирил	140	2	15	10	
Сидоришин Сергій Федорович	481	7	74	7	
Чубай Олександр  Степанович	173	1	31	41	
Рязанов Станіслав Анатолійович	167	18	38	64	
Керницький Олексій Богданович	310	0	66	7	
Конощук Марія Василівна	461	0	70	16	
Першогуба Віталій Леонтійович	414	20	70	33	
Смолярчук Ольга Аркадіївна	356	2	42	9	
Сачук Олександр Миколайович	481	12	69	9	
Карпяк Олег Віталійович	378	7	83	29	
Власенко  Василь Федорович	403	3	58	13	
Євтушенко Святослав Ігорович	228	5	25	48	
Виноградова Ірина Павлівна	387	3	73	51	
Зелінська Лариса Володимирівна	417	0	107	42	
Чугуєвець Анатолій Олександрович	528	2	1	31	
Озімковська Антоніна Володимирів	334	0	9	80	
Харковець Василь Степанович	500	0	37	17	
Демчук Валентин Вікторович	350	10	107	60	
Хорхолюк Артур Володимирович	479	4	69	19	
Покальчук Ольга Кузьмівна	415	6	51	23	
Шамшин Павло Володимирович	249	3	33	53	
Курсик Олександр Васильович	274	34	3	51	
Лащук Олександр Іванович	425	16	41	87	
Остапчук Андрій Олександрович	85	0	8	56	
Жаровський Михайло Богданович	266	0	21	24	
Романенко Юрій Іванович	322	2	31	62	
Паладійчук Сергій Богданович	277	4	48	62	
Сідлецький Юрій Юліанович	314	0	28	3	
Васильчук Сергій Миколайович	400	9	41	39	
Грещук Андрій Васильович	520	0	19	31	
