Поіменно

Назва пропозиції:


3. Про виділення коштів з резервного фонду бюджету міста Рівного на 2016 рік для надання матеріальної допомоги Коренівській Наталії Миколаївні




Так  ( Голосування: 33 )


Іванова Анна Григорівна

Бляшин Микола Степанович

Гапяк Богдан Володимирович









Года Маріян Адамович

Дзецько Олег Вікторович

Довжаниця Олександр Костянтинови









Загоровський Назарій Богданович

Ковалець Ігор Костянтинович

Криж Ольга Василівна









Крюков Олександр Володимирович

Кудрін Володимир В’ячеславович

Кузьмич Андрій Вікторович









Курсик Олександр Васильович

Лащук Анатолій Петрович

Немеш Василь Михайлович









Нестерук Олександр Петрович

Осіпчук Юрій Юрійович

Павелків Віталій Романович









Паладійчук Сергій Богданович

Петролюк Роман Васильович

Пожарський Петро Володимирович









Поліщук Назарій Миколайович

Романюк Любов Володимирівна

Стасюк Роман Павлович









Стельмащук Святослав Володимиров

Сухий Юрій Володимирович

Тимощук Тамара Ульянівна









Туровська Людмила Валентинівна

Хомко Володимир Євгенович

Чирак Людмила Вікторівна









Чубай Тетяна Василівна

Чугуєвець Анатолій Олександрович

Яворський Роман Степанович








Ні  ( Голосування: 0 )

Утрималися  ( Голосування: 0 )

Не голосували  ( Загалом: 2 )


Васильчук Сергій Миколайович

Карпяк Олег Віталійович











27.10.2016 16:45:47




Page 1 of 1

