Поіменно

Назва пропозиції:


130. Про затвердження Плану дій сталого енергетичного розвитку міста Рівного до 2020 року у новій редакції (вх. № 632 від 29.03.2016) [оприлюднено 18.02.2016]. Доповідач: М. Кирея, начальник Управління економіки міста. 




Так  ( Голосування: 23 )


Іванова Анна Григорівна

Васильчук Сергій Миколайович

Гапяк Богдан Володимирович









Года Маріян Адамович

Дзецько Олег Вікторович

Загоровський Назарій Богданович









Карпяк Олег Віталійович

Ковалець Ігор Костянтинович

Крюков Олександр Володимирович









Кузьмич Андрій Вікторович

Муляренко Олексій ВіталійовичМул

Осіпчук Юрій Юрійович









Павелків Віталій Романович

Паладійчук Сергій Богданович

Петролюк Роман Васильович









Пилипчук Ірина Стахівна

Пожарський Петро Володимирович

Поліщук Назарій Миколайович









Попик Володимир Володимирович

Тимощук Тамара Ульянівна

Туровська Людмила Валентинівна









Чирак Людмила Вікторівна

Чугуєвець Анатолій Олександрович










Ні  ( Голосування: 0 )

Утрималися  ( Голосування: 4 )


Криж Ольга Василівна

Стасюк Роман Павлович

Стельмащук Святослав Володимиров









Сухий Юрій Володимирович












Не голосували  ( Загалом: 5 )


Довжаниця Олександр Костянтинови

Кудрін Володимир В’ячеславович

Лащук Анатолій Петрович









Романюк Любов Володимирівна

Яворський Роман Степанович

















21.04.2016 15:10:29





Page 1 of 1

