Поіменно

Назва пропозиції:


23. Про затвердження проекту землеустрою та передачу безоплатно у власність земельної ділянки на вул. Весняній (гр. Петрук Г. І.) (вільна від забудови земельна ділянка) (вх. № 2485 від 16.11.2016). Доповідач: С. Таргоній, начальник Управління земельних відносин.




Так  ( Голосування: 27 )


Євтушенко Святослав Ігорович

Іванова Анна Григорівна

Года Маріян Адамович









Дзецько Олег Вікторович

Карпяк Олег Віталійович

Ковалець Ігор Костянтинович









Криж Ольга Василівна

Крюков Олександр Володимирович

Курсик Олександр Васильович









Лащук Анатолій Петрович

Немеш Василь Михайлович

Нестерук Олександр Петрович









Осіпчук Юрій Юрійович

Павелків Віталій Романович

Петролюк Роман Васильович









Пилипчук Ірина Стахівна

Пожарський Петро Володимирович

Поліщук Назарій Миколайович









Попик Володимир Володимирович

Стасюк Роман Павлович

Сухий Юрій Володимирович









Тимощук Тамара Ульянівна

Хомко Володимир Євгенович

Чирак Людмила Вікторівна









Чубай Тетяна Василівна

Чугуєвець Анатолій Олександрович

Яворський Роман Степанович








Ні  ( Голосування: 0 )

Утрималися  ( Голосування: 1 )


Романюк Любов Володимирівна




Не голосували  ( Загалом: 6 )


Васильчук Сергій Миколайович

Гапяк Богдан Володимирович

Довжаниця Олександр Костянтинови









Кузьмич Андрій Вікторович

Паладійчук Сергій Богданович

Чубай Олександр Степанович















22.12.2016 12:37:09





Page 1 of 1

