Поіменно

Назва пропозиції:


78. Про затвердження проекту землеустрою щодо відведення земельної ділянки на вул. Дачній, 19, цільове призначення якої змінюється (вх. № 455 від 19.05.2015) [оприлюднено 16.03.2015]. Доповідач: С. Таргоній, начальник Управління земельних відносин. 




Так  ( Голосування: 20 )


Богатирчук-Кривко Світлана Кирил

Вівсянник Віктор Михайлович

Васильчук Сергій Миколайович









Грещук Андрій Васильович

Жаровський Михайло Богданович

Зиль Володимир Васильович









Карпяк Олег Віталійович

Коваленко Володимир Григорович

Конощук Марія Василівна









Озімковська Антоніна Володимирів

Романенко Юрій Іванович

Сачук Олександр Миколайович









Сидоришин Сергій Федорович

Смолярчук Ольга Аркадіївна

Туровська Людмила Валентинівна









Хмилецький Олексій Віталійович

Хорхолюк Артур Володимирович

Чубай Олександр  Степанович









Чугуєвець Анатолій Олександрович

Шевчук Руслан Степанович










Ні  ( Голосування: 0 )

Утрималися  ( Голосування: 11 )


Галайчук Едуард Костянтинович

Гладун Любомир Володимирович

Грудницький Володимир Миколайови









Зелінська Лариса Володимирівна

Кімстач Ніна Іванівна

Максименко Тарас Анатолійович









Покальчук Ольга Кузьмівна

Радько Микола Олексійович

Сачук Антон Олександрович









Харковець Василь Степанович

Шамшин Павло Володимирович










Не голосували  ( Загалом: 7 )


Виноградова Ірина Павлівна

Демчук Валентин Вікторович

Запорожець Юрій Миколайович









Курсик Олександр Васильович

Лащук Олександр Іванович

Паладійчук Сергій Богданович









Хомко Володимир Євгенович



















17.09.2015 14:33:30





Page 1 of 1

