Поіменно

Назва пропозиції:


149. Про надання дозволу на розроблення проекту землеустрою щодо відведення безоплатно у власність земельної ділянки на вул. Сергія Боженова, 56 гр. Новосад Т. О. (вільна від забудови земельна ділянка) (вх. № 2136 від 26.09.2016) [оприлюднено 25.08.2016]. Доповідач: С. Таргоній, начальник Управління земельних відносин. 




Так  ( Голосування: 2 )


Павелків Віталій Романович

Чугуєвець Анатолій Олександрович






Ні  ( Голосування: 6 )


Года Маріян Адамович

Кузьмич Андрій Вікторович

Курсик Олександр Васильович









Нестерук Олександр Петрович

Стельмащук Святослав Володимиров

Чубай Тетяна Василівна








Утрималися  ( Голосування: 22 )


Євтушенко Святослав Ігорович

Іванова Анна Григорівна

Васильчук Сергій Миколайович









Гапяк Богдан Володимирович

Дзецько Олег Вікторович

Довжаниця Олександр Костянтинови









Загоровський Назарій Богданович

Карпяк Олег Віталійович

Ковалець Ігор Костянтинович









Криж Ольга Василівна

Крюков Олександр Володимирович

Немеш Василь Михайлович









Осіпчук Юрій Юрійович

Паладійчук Сергій Богданович

Петролюк Роман Васильович









Романюк Любов Володимирівна

Стасюк Роман Павлович

Сухий Юрій Володимирович









Тимощук Тамара Ульянівна

Туровська Людмила Валентинівна

Чирак Людмила Вікторівна









Яворський Роман Степанович












Не голосували  ( Загалом: 6 )


Бляшин Микола Степанович

Лащук Анатолій Петрович

Пожарський Петро Володимирович









Поліщук Назарій Миколайович

Хомко Володимир Євгенович

Чубай Олександр Степанович















27.10.2016 17:13:06





Page 1 of 1

